"doc_id","AB","TI","DE","PY","DT","DI","LA"
"ULLAH S, 2023, COMPUT SCI REV","Elliptic Curve (EC) is the most recent and advanced technique of Elliptic Curve Cryptography (ECC). EC is often used to improve the security of open communication networks and to let specific persons with confirmed identities into the Modern Digital Era (MDE). Users of MDE make use of many technologies, such as social media, the cloud, and the IoT industry, among others. No matter what tool the users are using, the whole environment has to be able to keep their security and privacy preserved.The study of cryptography is required because unsecure networks make data transmission and the transfer of information susceptible to data theft and attack via an open channel.This makes it necessary to learn cryptography. The art of encrypting documents and communications using keys in such a way that only the individuals who are intended to receive them are able to decode and process them is referred to as cryptography. A digital signature, cryptographic data integrity, and authentication method all rely on the address of the receiver and the sender in addition to mathematical operations to find the signature. During the process of signature and verification, the solution that was presented is compared with the technique that is currently being used by ECDSA in order to illustrate the differences that exist between the two processes.This comprehensive survey of EC seeks to thoroughly investigate many scientific concepts, state-of-the-art, and innovative methodologies and implementations. This work will be useful for academics, who are interested in further analysis. Use and development of EC based schemes for cloud computing, e-health, and e-voting, is more secure as compared to RSA, and Diffie-Hellman schemes. In this comprehensive study, we claim that the adoption of EC methods in distributed computing and asynchronous networking provides significant benefits in distributed computing and interdependent networking.(c) 2022 Elsevier Inc. All rights reserved.","Elliptic Curve Cryptography; Applications, challenges, recent advances, and future trends: A comprehensive survey","Elliptic Curves; Elliptic Curve Cryptography; Elliptic curve digital signature; Diffie-Hellman key exchange protocol; Bi-linearity; Identity based encryption; Attribute -based encryption; Discrete Logarithm Problem",2023,"REVIEW","10.1016/j.cosrev.2022.100530","ENGLISH"
"PANJA S, 2021, J INF SECUR APPL","We propose a cryptographic technique for an authenticated, end-to-end verifiable and secret ballot election. Currently, almost all verifiable e-voting systems require trusted authorities to perform the tallying process except for the DRE-i and DRE-ip systems. We have shown a weakness of the DRE-ip system and proposed a solution. We propose a secure and verifiable voter registration and authentication mechanism. The proposed scheme prevents ballot stuffing attack. We have modified the DRE-ip system so that no adversary can create and post a valid ballot on the public bulletin board without detection. We propose a method for publishing the final tally without revealing the tally from individual Direct-Recording Electronic (DRE) machines using secure multi-party computation and non-interactive zero-knowledge (NIZK) proof. We propose two methods to store these ballots using blockchain and cloud server. To the best of our knowledge, it is the first end-to end verifiable DRE based e-voting system using blockchain. We provide security proofs to prove the security properties of the proposed scheme. We prove that the efficient NIZK proof proposed by Lin et al. in APSIPA ASC 2019 is not correct since it does not satisfy the witness indistinguishability property of a zero-knowledge proof. We introduce an improved NIZK proof that boosts the efficiency of the system. The experimental data obtained from our tests show the protocol's potential for real-world deployment.","A secure end-to-end verifiable e-voting system using blockchain and cloud","E-voting; Blockchain; Ethereum; Direct-Recording Electronic; Authentication; Non-interactive zero-knowledge proof; End-to-end verifiable; Secure multi-party computation",2021,"ARTICLE","10.1016/j.jisa.2021.102815","ENGLISH"
"HAN G, 2020, IEEE NETWORK","IoT revolutionizes academia as well as industry. An increasing number of interconnected smart devices are gradually changing the urban lifestyle, among which, voting machines are one of the most widely used smart devices. However, the existing voting protocols for IoT are barely satisfactory, in the sense that most of them are centralized and subject to fairness issues. Moreover, the embedded softwares in voting machines are susceptible to internal vulnerabilities and external attacks. To address these issues, in this article, we propose a framework of a blockchain-based self-tallying voting system with software updates in decentralized IoT, which is fully decentralized and fair. In the proposed system, everyone can compute the final election results by collecting the ballots on the blockchain with equal privilege. Voting machines achieve self-tallying voting functionality in decentralized IoT systems and each entity in the system can obtain the voting results. Vendors deploy smart contracts to publish new patches securely and reliably. We implement a prototype of the proposed framework on laptops and mobile phones respectively to demonstrate its practicality.","Blockchain-Based Self-Tallying Voting System with Software Updates in Decentralized IoT","Protocols; Electronic voting; Cryptography; Software",2020,"ARTICLE","10.1109/MNET.001.1900439","ENGLISH"
"BLANCHARD E, 2022, LECT NOTES COMPUT SC","This article provides the first security and privacy analysis of the Neovote voting system, which was used for three of the five primaries in the French 2022 presidential election. We show that the demands of transparency, verifiability and security set by French governmental organisations were not met, and propose multiple attacks against the system targeting both the breach of voters' privacy and the manipulation of the tally. We also show how inconsistencies in the verification system allow the publication of erroneous tallies and document how this arrived in practice during one of the primary elections.","An Analysis of the Security and Privacy Issues of the Neovote Online Voting System","Cybersecurity; Electronic voting system; Privacy; Case study; Online voting",2022,"PROCEEDINGS PAPER","10.1007/978-3-031-15911-4_1","ENGLISH"
"CHAEIKAR S, 2021, IEEE INT ENTERP","An electronic voting system aims to cast and record votes of the legitimate voters while providing an adequate level of security in the way the votes are cast. These require eliminating the link between the voter and the vote, and at the same time, providing an audit trail for validating the counting and tallying processes. Voting is a critical principle of democracy, and to achieve an accurate vote recording, storing, and reporting, the designed system must be reliable, and tampering and fraud-resistant. Moreover, the architecture of the system must prevent user mistakes, and technical errors and drawbacks. This paper classifies the current critical security issues of the e-voting systems in a structured way, to help the e-voting researchers and designers evaluate their systems against them. To this end, it first reviews the system components, authorized user types, and potential threats, and then discusses the confidentiality, integrity, and availability (CIA) issues. The final contribution is introducing and prioritizing the potential security solutions.","Security Principles and Challenges in Electronic Voting","Availability; confidentiality; electronic voting; integrity; security landscape",2021,"PROCEEDINGS PAPER","10.1109/EDOCW52865.2021.00030","ENGLISH"
"CORTIER V, 2024, P IEEE COMPUT SECUR","Coercion-resistance is a security property of electronic voting, often considered as a must-have for high-stake elections. The JCJ voting scheme, proposed in 2005 by Juels, Catalano and Jakobsson, is still the reference paradigm when designing a coercion-resistant protocol. We highlight a weakness in JCJ that is also present in all the systems following its general structure. This comes from the procedure that precedes the tally, where the trustees remove the ballots that should not be counted. This phase leaks more information than necessary, leading to potential threats for the coerced voters. Fixing this leads to the notion of cleansing-hiding, that we apply to form a variant of JCJ that we call CHide. One reason for the problem not being seen before is the fact that the associated formal definition of coercion-resistance was too weak. We therefore propose a definition that takes into account more behaviors such as revoting or the addition of fake ballots by authorities. We then prove that CHide is coercion-resistant for this definition.","Is the JCJ voting system really coercion-resistant?","E-voting; coercion-resistance",2024,"PROCEEDINGS PAPER","10.1109/CSF61375.2024.00003","ENGLISH"
"POINTCHEVAL D, 2024, LECT NOTES COMPUT SC","Universal verifiability is a must-to-have for electronic voting schemes. It is essential to ensure honest behavior of all the players during the whole process, together with the eligibility. However, it should not endanger the privacy of the individual votes, which is another major requirement. Whereas the first property prevents attacks during the voting process, privacy of the votes should hold forever, which has been called everlasting privacy. A classical approach for universal verifiability is to add some proofs together with the encrypted votes, which requires publication of the latter, while eligibility needs a link between the votes and the voters: it definitely excludes long-term privacy. An alternative is the use of perfectly-hiding commitments, on which proofs are published, while ciphertexts are kept private for computing the tally. In this paper, we show how recent linearly-homomorphic signatures can be exploited for all the proofs, leading to very efficient procedures towards universal verifiability with both strong receipt-freeness and everlasting privacy. Privacy will indeed be unconditional, after the publication of the results and the proofs, whereas the soundness of the proofs holds in the algebraic group model and the random oracle model.","Efficient Universally-Verifiable Electronic Voting with Everlasting Privacy",NA,2024,"PROCEEDINGS PAPER","10.1007/978-3-031-71070-4_15","ENGLISH"
"DELAUNE S, 2022, LECT NOTES COMPUT SC","Electronic voting promises the possibility of convenient and efficient systems for recording and tallying votes in an election. To be widely adopted, ensuring the security of the cryptographic protocols used in e-voting is of paramount importance. However, the security analysis of this type of protocols raises a number of challenges, and they are often out of reach of existing verification tools. In this paper, we study vote privacy, a central security property that should be satisfied by any e-voting system. More precisely, we propose the first formalisation of the recent BPRIV notion in the symbolic setting. To ease the formal security analysis of this notion, we propose a reduction result allowing one to bound the number of voters and ballots needed to mount an attack. Our result applies on a number of case studies including several versions of Helios, Belenios, JCJ/Civitas, and Pret-a-Voter. For some of these protocols, thanks to our result, we are able to conduct the analysis relying on the automatic tool Proverif.","One Vote Is Enough for Analysing Privacy",NA,2022,"PROCEEDINGS PAPER","10.1007/978-3-031-17140-6_9","ENGLISH"
"ESTAJI E, 2020, LECT NOTES COMPUT SC","In this paper we revisit the seminal coercion-resistant e-voting protocol by Juels, Catalano and Jakobsson (JCJ) and in particular the attempts to make it usable and practical. In JCJ the user needs to handle cryptographic credentials and be able to fake these in case of coercion. In a series of three papers Neumann et al. analysed the usability of JCJ, and constructed and implemented a practical credential handling system using a smart card which unlock the true credential via a PIN code, respectively fake the credential via faking the PIN. We present several attacks and problems with the security of this protocol, especially an attack on coercion-resistance due to information leakage from the removal of duplicate ballots. Another problem, already stressed but not solved by Neumann et al, is that PIN typos happen frequently and would invalidate the cast vote without the voter being able to detect this. We construct different protocols which repair these problems. Further, the smart card is a trusted component which can invalidate cast votes without detection and can be removed by a coercer to force abstention, i.e. presenting a single point of failure. Hence we choose to make the protocols hardware-flexible i.e. also allowing the credentials to be store by ordinary means, but still being PIN based and providing PIN error resilience. Finally, one of the protocols has a linear tally complexity to ensure an efficient scheme also with many voters.","Revisiting Practical and Usable Coercion-Resistant Remote E-Voting","Electronic voting; Coercion-resistance; Usable security",2020,"PROCEEDINGS PAPER","10.1007/978-3-030-60347-2_4","ENGLISH"
"GIUSTOLISI R, 2025, LECT NOTES COMPUT SC","Coercion resistance is a strong security property of electronic voting that prevents adversaries from forcing voters to vote in a specific way by using threats or rewards. There exist clever techniques aimed at preventing voter coercion based on fake credentials, but they are either inefficient or cannot support features such as revoting without leaking more information than necessary to coercers. One of the reasons is that invalid ballots cast due to revoting or coercion need to be removed before the tallying. In this paper, we propose a coercion-resistant Internet voting scheme that does not require the removal of invalid ballots, hence avoids the leakage of information, but still supports revoting. The scheme is very efficient and achieves linear tallying.","Efficient Cleansing in Coercion-Resistant Voting",NA,2025,"PROCEEDINGS PAPER","10.1007/978-3-031-72244-8_5","ENGLISH"
